year,musician,work,category,status,cleaned_musician
1971,James Taylor,Sweet Baby James,album-of-the-year,nominee,James Taylor
1970,"Sweat & Tears, Blood, Sweat & Tears","Blood, Sweat & Tears, Blood",album-of-the-year,winner,Sweat  Tears Blood Sweat  Tears
1970,Beatles,Abbey Road,album-of-the-year,nominee,Beatles
1970,the 5th Dimension,The Age of Aquarius,album-of-the-year,nominee,the 5th Dimension
1970,Stills & Nash,"Crosby, Stills & Nash, Crosby",album-of-the-year,nominee,Stills  Nash
1970,Johnny Cash,At San Quentin,album-of-the-year,nominee,Johnny Cash
1969,Glen Campbell,By the Time I Get to Phoenix,album-of-the-year,winner,Glen Campbell
1969,Simon & Garfunkel,Bookends,album-of-the-year,nominee,Simon  Garfunkel
1969,Jose Feliciano,Feliciano!,album-of-the-year,nominee,Jose Feliciano
1969,Beatles,Magical Mystery Tour,album-of-the-year,nominee,Beatles
1969,Richard Harris,A Tramp Shining,album-of-the-year,nominee,Richard Harris
1968,Beatles,Sgt. Pepper’s Lonely Hearts Club Band,album-of-the-year,winner,Beatles
1968,Frank Sinatra & Antonio Carlos Jobim,Francis Albert Sinatra & Antonio Carlos Jobim,album-of-the-year,nominee,Frank Sinatra  Antonio Carlos Jobim
1968,Vicki Carr,It Must Be Him,album-of-the-year,nominee,Vicki Carr
1968,Ed Ames,My Cup Runneth Over,album-of-the-year,nominee,Ed Ames
1968,Bobbie Gentry,Ode to Billie Joe,album-of-the-year,nominee,Bobbie Gentry
1967,Frank Sinatra,A Man and His Music,album-of-the-year,winner,Frank Sinatra
1967,Barbra Streisand,Color Me Barbra,album-of-the-year,nominee,Barbra Streisand
1967,Maurice Jane,Dr. Zhivago soundtrack,album-of-the-year,nominee,Maurice Jane
1967,Beatles,Revolver,album-of-the-year,nominee,Beatles
1967,Herb Alpert and the Tijuana Brass,What Now My Love,album-of-the-year,nominee,Herb Alpert and the Tijuana Brass
1966,Frank Sinatra,September of My Years,album-of-the-year,winner,Frank Sinatra
1966,Beatles,Help!,album-of-the-year,nominee,Beatles
1966,Barbra Streisand,My Name is Barbra,album-of-the-year,nominee,Barbra Streisand
1966,Eddy Arnold,My World,album-of-the-year,nominee,Eddy Arnold
1966,soundtrack,The Sound of Music,album-of-the-year,nominee,soundtrack
1965,Stan Getz & Joao Gilberto,Getz/Gilberto,album-of-the-year,winner,Stan Getz  Joao Gilberto
1965,Al Hirt,Cotton Candy,album-of-the-year,nominee,Al Hirt
1965,Broadway cast recording,Funny Girl,album-of-the-year,nominee,Broadway cast recording
1965,Barbra Streisand,People,album-of-the-year,nominee,Barbra Streisand
1965,Henry Mancini,The Pink Panther,album-of-the-year,nominee,Henry Mancini
1964,Barbra Streisand,The Barbra Streisand Album,album-of-the-year,winner,Barbra Streisand
1964,Swingle Sisters,Bach’s Greatest Hits,album-of-the-year,nominee,Swingle Sisters
1964,Andy Williams,Days of Wine and Roses and Other TV Requests,album-of-the-year,nominee,Andy Williams
1964,Al Hirt,Honey in the Horn,album-of-the-year,nominee,Al Hirt
1964,the Singing Nun,The Singing Nun,album-of-the-year,nominee,the Singing Nun
1963,Vaughn Meader,The First Family,album-of-the-year,winner,Vaughn Meader
1963,Tony Bennett,I Left My Heart in San Francisco,album-of-the-year,nominee,Tony Bennett
1963,Stan Getz & Charlie Byrd,Jazz Samba,album-of-the-year,nominee,Stan Getz  Charlie Byrd
1963,Ray Charles,Modern Sounds in Country and Western Music,album-of-the-year,nominee,Ray Charles
1963,Allan Sherman,"My Son, the Folk Singer",album-of-the-year,nominee,Allan Sherman
1962,Judy Garland,Judy at Carnegie Hall,album-of-the-year,winner,Judy Garland
1962,Henry Mancini,Breakfast at Tiffany’s soundtrack,album-of-the-year,nominee,Henry Mancini
1962,Ray Charles,Genius + Soul = Jazz,album-of-the-year,nominee,Ray Charles
1962,Si Zentner & the Johnny Mann Singers,Great Band with Great Voices,album-of-the-year,nominee,Si Zentner  the Johnny Mann Singers
1962,Nat King Cole,The Nat King Cole Story,album-of-the-year,nominee,Nat King Cole
1962,soundtrack,West Side Story,album-of-the-year,nominee,soundtrack
1961,Bob Newhart,The Button-Down Mind of Bob Newhart,album-of-the-year,winner,Bob Newhart
1961,Harry Belafonte,Belafonte Returns to Carnegie Hall,album-of-the-year,nominee,Harry Belafonte
1961,Sviatoslav Richter,Brahms: Concert No. 2 in B-Flat,album-of-the-year,nominee,Sviatoslav Richter
1961,Frank Sinatra,Nice ‘n’ Easy,album-of-the-year,nominee,Frank Sinatra
1961,Erich Leinsdorf,Puccini: Turandot,album-of-the-year,nominee,Erich Leinsdorf
1961,Nat King Cole,Wild is Love,album-of-the-year,nominee,Nat King Cole
1960,Frank Sinatra,Come Dance With Me!,album-of-the-year,winner,Frank Sinatra
1960,Harry Belafonte,Belafonte at Carnegie Hall,album-of-the-year,nominee,Harry Belafonte
1960,Henry Mancini,More Music from Peter Gunn,album-of-the-year,nominee,Henry Mancini
1960,Van Cliburn,Rachmaninoff Piano Concerto No. 3,album-of-the-year,nominee,Van Cliburn
1960,Robert Russell Bennett,"Victory at Sea, Vol. 1",album-of-the-year,nominee,Robert Russell Bennett
1959,Henry Mancini,The Music from Peter Gunn,album-of-the-year,winner,Henry Mancini
1959,Frank Sinatra,Come Fly With Me,album-of-the-year,nominee,Frank Sinatra
1959,Ella Fitzgerald,Ella Fitzgerald Sings the Irving Berlin Songbook,album-of-the-year,nominee,Ella Fitzgerald
1959,Frank Sinatra,Frank Sinatra Sings for Only the Lonely,album-of-the-year,nominee,Frank Sinatra
1959,Van Cliburn,"Tchaikovsky: Concerto No. 1 in B Flat Minor, Op. 23",album-of-the-year,nominee,Van Cliburn
2022,Silk Sonic,Leave the Door Open,record-of-the-year,winner,Silk Sonic
2022,Abba,I Still Have Faith in You,record-of-the-year,nominee,Abba
2022,Jon Batiste,Freedom,record-of-the-year,nominee,Jon Batiste
2022,Tony Bennett & Lady Gaga,I Get a Kick Out of You,record-of-the-year,nominee,Tony Bennett  Lady Gaga
2022,Justin Bieber featuring Daniel Caesar & Giveon,Peaches,record-of-the-year,nominee,Justin Bieber featuring Daniel Caesar  Giveon
2022,Brandi Carlile,Right on Time,record-of-the-year,nominee,Brandi Carlile
2022,Doja Cat featuring SZA,Kiss Me More,record-of-the-year,nominee,Doja Cat featuring SZA
2022,Billie Eilish,Happier Than Ever,record-of-the-year,nominee,Billie Eilish
2022,Lil Nas X,Montero (Call Me By Your Name),record-of-the-year,nominee,Lil Nas X
2022,Olivia Rodrigo,Drivers License,record-of-the-year,nominee,Olivia Rodrigo
2021,Billie Eilish,Everything I Wanted,record-of-the-year,winner,Billie Eilish
2021,Beyonce,Black Parade,record-of-the-year,nominee,Beyonce
